Age,DistanceFromHome,MonthlyIncome,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,JobRole,OverTime,WorkLifeBalance,Attrition
565,23,10,3505,2,3,2,2,2,Research & Development,Low,Very High,High,Research Scientist,No,Better,No
566,47,27,6397,8,2,5,4,3,Sales,Medium,Very High,High,Sales Executive,Yes,Better,Yes
567,34,2,6274,6,5,6,5,4,Sales,Very High,High,Very High,Sales Executive,No,Better,No
568,55,2,19859,24,2,5,2,4,Research & Development,Very High,High,Low,Manager,Yes,Better,Yes
569,36,8,7587,10,1,10,7,9,Sales,Low,Medium,Low,Sales Executive,No,Better,No
570,52,19,4258,5,3,4,3,2,Research & Development,Very High,High,Very High,Research Scientist,No,Better,No
571,26,1,4364,5,2,2,2,0,Research & Development,Low,Low,Very High,Laboratory Technician,No,Better,No
572,29,27,4335,11,3,8,7,1,Research & Development,Medium,High,High,Healthcare Representative,No,Good,No
573,26,8,5326,6,2,4,3,2,Sales,Very High,Medium,Low,Sales Executive,No,Good,Yes
574,34,1,3280,10,2,4,2,3,Research & Development,Medium,Very High,Very High,Research Scientist,No,Better,No
575,54,19,5485,9,4,5,3,4,Research & Development,Very High,High,Low,Manufacturing Director,Yes,Better,No
576,27,8,4342,5,3,4,2,1,Sales,High,High,Very High,Sales Executive,No,Better,No
577,37,10,2782,6,3,5,3,3,Research & Development,Very High,High,Low,Research Scientist,Yes,Good,No
578,38,2,5980,17,2,15,7,12,Research & Development,Low,Very High,Low,Manufacturing Director,Yes,Better,No
579,34,2,4381,6,3,6,5,3,Research & Development,High,Medium,Low,Research Scientist,No,Better,No
580,35,8,2572,3,1,3,2,2,Sales,Low,High,Very High,Sales Representative,No,Good,No
581,30,1,3833,7,2,2,2,2,Research & Development,Very High,Low,High,Laboratory Technician,No,Better,No
582,40,2,4244,8,2,8,7,7,Research & Development,High,Very High,Medium,Healthcare Representative,No,Better,No
583,34,8,6500,6,1,3,2,2,Sales,High,High,Low,Sales Executive,No,Better,No
584,42,8,18430,24,4,24,7,9,Research & Development,Medium,High,Very High,Manager,No,Good,No
585,23,6,1601,1,2,0,0,0,Research & Development,High,Very High,Low,Laboratory Technician,Yes,Better,Yes
586,24,9,2694,1,4,1,0,0,Research & Development,High,Medium,Medium,Laboratory Technician,No,Better,No
587,52,11,3149,9,3,5,2,4,Research & Development,Very High,High,High,Laboratory Technician,No,Better,No
588,50,2,17639,30,3,4,3,3,Research & Development,High,High,High,Research Director,No,Better,No
589,29,1,2319,1,1,1,0,0,Research & Development,Medium,Medium,Low,Laboratory Technician,Yes,Better,Yes
590,33,7,11691,14,3,13,9,7,Research & Development,High,High,High,Research Director,No,Best,No
591,33,16,5324,6,3,3,2,2,Sales,Low,High,Low,Sales Executive,No,Better,Yes
592,47,2,16752,26,3,26,14,0,Research & Development,High,High,Very High,Manager,Yes,Good,No
593,36,1,5228,10,2,9,7,5,Research & Development,High,High,Medium,Manufacturing Director,No,Better,No
594,29,23,2700,10,3,10,7,7,Research & Development,High,Very High,High,Research Scientist,No,Better,No
595,58,2,19246,40,2,31,15,8,Research & Development,Very High,High,Medium,Research Director,Yes,Better,Yes
596,35,1,2506,7,0,2,2,2,Research & Development,Very High,Very High,High,Research Scientist,No,Better,No
597,42,1,6062,8,4,4,3,2,Research & Development,Very High,Medium,Very High,Manufacturing Director,Yes,Better,No
598,28,2,4382,5,3,2,2,1,Research & Development,High,High,High,Research Scientist,No,Good,Yes
599,36,13,2143,8,2,5,2,4,Human Resources,High,High,Medium,Human Resources,No,Better,No
600,32,4,6162,14,3,14,13,8,Research & Development,High,Medium,High,Manufacturing Director,No,Better,No
601,40,16,5094,10,6,1,0,0,Research & Development,Low,Medium,High,Laboratory Technician,No,Better,No
602,30,2,6877,12,4,0,0,0,Research & Development,High,Medium,Very High,Manufacturing Director,Yes,Good,No
603,45,2,2274,1,3,1,0,0,Research & Development,Medium,Medium,High,Research Scientist,No,Better,No
604,42,29,4434,10,3,9,8,8,Research & Development,Medium,High,Medium,Manufacturing Director,No,Good,No
605,38,12,6288,13,3,4,3,2,Research & Development,Low,Medium,Low,Healthcare Representative,No,Good,No
606,34,16,2553,6,3,5,2,3,Research & Development,High,Medium,Very High,Research Scientist,No,Better,No
607,49,11,7654,9,3,9,8,7,Sales,High,High,Very High,Sales Executive,No,Best,Yes
608,55,2,5160,12,3,9,7,3,Sales,High,High,Very High,Sales Executive,No,Good,Yes
609,43,14,17159,22,3,4,1,0,Research & Development,Medium,High,Low,Research Director,No,Better,No
610,27,5,12808,9,3,9,8,8,Research & Development,High,Medium,Very High,Research Director,Yes,Better,No
611,35,7,10221,17,3,8,5,6,Research & Development,High,High,High,Manufacturing Director,No,Best,No
612,28,2,4779,8,2,8,7,5,Sales,Medium,High,Medium,Sales Executive,Yes,Better,No
613,34,3,3737,4,1,3,2,2,Human Resources,High,High,Very High,Human Resources,No,Bad,No
614,26,5,2366,8,2,8,7,7,Research & Development,High,Medium,High,Research Scientist,Yes,Better,Yes
615,27,3,1706,0,6,0,0,0,Research & Development,Very High,High,Very High,Research Scientist,No,Good,No
616,51,26,16307,29,2,20,6,17,Sales,Low,High,High,Manager,No,Good,No
617,44,4,5933,10,2,5,2,3,Research & Development,Very High,High,Medium,Healthcare Representative,No,Good,No
618,25,2,3424,6,3,4,3,1,Research & Development,Low,Very High,Low,Research Scientist,No,Good,No
619,33,1,4037,9,5,9,8,8,Sales,Low,Very High,Low,Sales Executive,No,Better,No
620,35,27,2559,6,3,6,5,1,Research & Development,High,Medium,Low,Research Scientist,No,Good,No
621,36,1,6201,18,1,18,14,11,Sales,Medium,High,Very High,Sales Executive,Yes,Good,No
622,32,13,4403,8,3,5,2,3,Sales,Medium,High,Very High,Sales Executive,No,Good,No
623,30,5,3761,10,3,5,4,3,Research & Development,Medium,Medium,Very High,Research Scientist,No,Good,No
624,53,7,10934,35,3,5,2,4,Sales,Low,Medium,Very High,Sales Executive,Yes,Better,No
625,45,9,10761,18,2,5,4,2,Sales,Very High,High,Low,Sales Executive,Yes,Better,No
626,32,8,5175,9,3,5,3,3,Research & Development,High,Very High,High,Research Scientist,No,Good,No
627,52,25,13826,31,3,9,8,0,Research & Development,High,Medium,Very High,Manufacturing Director,No,Better,No
628,37,16,6334,9,2,1,0,0,Sales,Very High,Medium,High,Sales Executive,No,Better,No
629,28,8,4936,6,6,5,1,4,Human Resources,Medium,Medium,Very High,Human Resources,No,Better,No
630,22,1,4775,4,2,2,2,2,Research & Development,Very High,Medium,Very High,Manufacturing Director,No,Bad,No
631,44,8,2818,10,2,3,2,2,Research & Development,Low,Very High,Very High,Laboratory Technician,Yes,Good,No
632,42,2,2515,8,2,2,1,2,Research & Development,Medium,High,Very High,Research Scientist,Yes,Better,No
633,36,8,2342,6,3,5,4,3,Human Resources,Low,Medium,Low,Human Resources,No,Better,No
634,25,3,4194,5,3,5,3,3,Sales,High,High,Low,Sales Executive,Yes,Better,No
635,35,9,10685,17,2,17,14,15,Research & Development,Very High,Medium,High,Manufacturing Director,Yes,Better,No
636,35,25,2022,10,3,10,2,8,Research & Development,Very High,High,Medium,Research Scientist,Yes,Good,Yes
637,32,1,2314,4,2,3,0,2,Research & Development,Very High,High,Very High,Laboratory Technician,No,Better,No
638,25,4,4256,5,1,5,2,3,Sales,High,Medium,Low,Sales Executive,No,Best,No
639,49,1,3580,7,2,4,2,2,Research & Development,High,High,Low,Research Scientist,No,Better,No
640,24,4,3162,6,2,5,2,4,Research & Development,Low,Medium,Very High,Laboratory Technician,No,Good,No
641,32,5,6524,10,3,10,8,3,Sales,Medium,High,Medium,Sales Executive,No,Better,No
642,38,9,2899,3,3,2,2,2,Sales,Medium,Medium,Medium,Sales Representative,No,Better,No
643,42,3,5231,17,1,5,3,3,Research & Development,High,Very High,Very High,Laboratory Technician,Yes,Good,No
644,31,11,2356,8,2,6,4,2,Research & Development,Very High,High,Very High,Research Scientist,Yes,Better,No
645,29,1,2800,5,3,3,2,2,Sales,Medium,Medium,High,Sales Representative,Yes,Better,Yes
646,53,8,11836,28,3,2,0,2,Sales,Low,High,Very High,Sales Executive,No,Better,No
647,35,25,10903,16,2,13,10,8,Research & Development,Very High,Medium,Medium,Manufacturing Director,No,Better,No
648,37,21,2973,10,3,5,4,0,Sales,High,High,Very High,Sales Representative,No,Better,No
649,53,23,14275,33,0,12,9,8,Research & Development,Very High,High,Very High,Research Director,No,Better,No
650,43,1,5562,12,2,5,2,2,Research & Development,Very High,High,Very High,Healthcare Representative,No,Good,No
651,47,2,4537,8,2,7,6,7,Sales,High,High,Very High,Sales Executive,Yes,Better,No
652,37,19,7642,10,2,10,0,9,Sales,Low,High,Medium,Sales Executive,Yes,Better,No
653,50,2,17924,31,3,31,6,7,Research & Development,Low,High,Low,Manager,No,Better,No
654,39,2,5204,13,2,5,4,4,Human Resources,Very High,Medium,Very High,Human Resources,No,Better,No
655,33,3,2277,7,4,4,3,3,Human Resources,Very High,High,Medium,Human Resources,Yes,Best,No
656,32,25,2795,1,2,1,0,1,Research & Development,Low,High,Very High,Laboratory Technician,Yes,Bad,Yes
657,29,7,2532,8,5,4,3,3,Research & Development,Low,Medium,Very High,Laboratory Technician,No,Better,No
658,44,9,2559,8,0,8,7,1,Research & Development,Medium,High,Low,Research Scientist,Yes,Better,No
659,28,5,4908,4,3,4,2,2,Sales,Low,High,Very High,Sales Executive,No,Better,No
660,58,2,2380,3,3,1,0,0,Research & Development,Very High,Medium,Very High,Laboratory Technician,Yes,Good,Yes
661,43,8,4765,4,2,1,0,0,Research & Development,Low,High,Medium,Manufacturing Director,No,Best,No
662,20,2,2044,2,3,2,2,2,Sales,High,Medium,High,Sales Representative,No,Good,Yes
663,21,18,2693,1,3,1,0,0,Research & Development,Very High,High,Very High,Research Scientist,No,Good,Yes
664,36,14,6586,17,2,16,8,11,Research & Development,High,High,Very High,Healthcare Representative,Yes,Good,No
665,47,2,3294,3,3,3,2,2,Sales,Very High,Medium,Very High,Sales Representative,Yes,Good,No
666,22,3,4171,4,3,3,2,2,Research & Development,Medium,High,High,Manufacturing Director,Yes,Best,Yes
667,41,2,2778,10,1,7,7,0,Research & Development,Medium,Low,Very High,Laboratory Technician,Yes,Good,Yes
668,28,9,2377,6,2,2,2,2,Research & Development,High,High,High,Research Scientist,No,Better,No
669,39,6,2404,8,2,2,2,2,Research & Development,Very High,High,Low,Laboratory Technician,Yes,Bad,Yes
670,27,4,2318,1,2,1,1,0,Research & Development,Medium,High,High,Research Scientist,No,Better,No
671,34,10,2008,1,3,1,0,0,Research & Development,Medium,High,Medium,Laboratory Technician,No,Better,No
672,42,14,6244,10,6,5,4,3,Sales,High,Medium,High,Sales Executive,No,Better,No
673,33,1,2799,6,1,3,2,2,Research & Development,High,Medium,Low,Research Scientist,Yes,Better,No
674,58,5,10552,24,3,6,0,4,Research & Development,High,Medium,Medium,Healthcare Representative,Yes,Better,No
675,31,7,2329,13,2,7,7,2,Sales,Medium,Medium,High,Sales Representative,No,Best,No
676,35,21,4014,10,2,10,6,7,Research & Development,Very High,High,Very High,Healthcare Representative,Yes,Bad,No
677,49,8,7403,29,3,26,9,7,Research & Development,Low,High,Medium,Laboratory Technician,No,Good,No
678,48,20,2259,13,2,0,0,0,Research & Development,Very High,High,High,Research Scientist,No,Good,No
679,31,20,6932,9,2,9,8,0,Sales,Very High,High,High,Sales Executive,No,Good,No
680,36,7,4678,8,6,6,2,1,Research & Development,Medium,High,Very High,Research Scientist,No,Better,No
681,38,1,13582,15,3,15,12,11,Research & Development,Very High,High,Low,Research Director,No,Better,No
682,32,1,2332,5,3,3,0,2,Research & Development,High,Medium,Medium,Laboratory Technician,No,Better,No
683,25,19,2413,1,2,1,0,0,Sales,High,Medium,Medium,Sales Representative,Yes,Better,Yes
684,40,10,9705,11,2,1,0,0,Sales,Low,Medium,Medium,Sales Executive,No,Good,No
685,26,1,4294,7,2,7,7,7,Sales,High,Medium,Low,Sales Executive,No,Better,No
686,41,6,4721,20,3,18,13,17,Research & Development,Very High,High,Low,Laboratory Technician,Yes,Better,No
687,36,2,2519,16,6,11,8,9,Research & Development,High,High,High,Laboratory Technician,No,Better,No
688,19,21,2121,1,3,1,0,0,Sales,Very High,Medium,Medium,Sales Representative,Yes,Best,Yes
689,20,4,2973,1,2,1,0,0,Research & Development,Low,High,Low,Laboratory Technician,No,Better,Yes
690,31,12,5855,10,2,9,7,5,Research & Development,Very High,High,Very High,Healthcare Representative,Yes,Bad,No
691,40,9,3617,3,2,1,1,0,Research & Development,Very High,High,Medium,Research Scientist,Yes,Better,No
692,32,3,6725,8,2,8,7,3,Research & Development,High,High,Low,Manufacturing Director,No,Best,No
693,36,3,10325,16,6,16,7,7,Sales,High,Medium,Very High,Sales Executive,Yes,Better,Yes
694,33,1,6949,6,3,5,0,4,Research & Development,Medium,Medium,Very High,Healthcare Representative,No,Better,No
695,37,1,10609,17,2,14,1,7,Sales,Low,Medium,High,Sales Executive,No,Bad,Yes
696,45,4,4447,9,5,9,7,8,Research & Development,High,High,Medium,Laboratory Technician,No,Good,No
697,29,20,2157,3,5,3,1,2,Sales,High,High,Very High,Sales Representative,No,Better,No
698,35,18,4601,5,3,5,2,0,Sales,High,High,High,Sales Executive,No,Better,No
699,52,1,17099,26,2,9,8,8,Research & Development,Very High,High,Very High,Manager,No,Good,No
700,58,2,2479,7,4,1,0,0,Research & Development,Very High,High,High,Research Scientist,No,Better,Yes
701,53,2,14852,22,3,17,13,2,Sales,High,High,High,Manager,No,Best,No
702,30,8,7264,10,2,8,4,7,Sales,High,High,High,Sales Executive,No,Best,No
703,38,10,5666,6,1,5,3,3,Sales,High,High,Very High,Sales Executive,Yes,Better,No
704,35,3,7823,12,2,10,9,8,Sales,Very High,High,Very High,Sales Executive,No,Better,No
705,39,2,7880,9,3,8,7,7,Sales,Low,Very High,High,Sales Executive,No,Better,No
706,40,24,13194,22,2,1,0,0,Sales,Medium,Very High,Medium,Sales Executive,Yes,Good,Yes
707,47,16,5067,20,3,19,10,7,Research & Development,High,Very High,High,Manufacturing Director,Yes,Best,No
708,36,8,5079,12,3,7,7,7,Sales,Low,High,Very High,Sales Executive,No,Better,No
709,31,9,2321,4,0,3,2,2,Research & Development,High,Medium,Low,Research Scientist,Yes,Better,Yes
710,33,17,17444,10,2,10,8,0,Sales,Very High,High,High,Manager,No,Better,No
711,29,10,2404,3,5,0,0,0,Research & Development,Very High,Medium,Low,Research Scientist,Yes,Better,Yes
712,33,13,3452,5,4,3,2,2,Research & Development,Medium,High,Very High,Research Scientist,No,Better,No
713,45,1,2270,8,2,5,3,2,Research & Development,Very High,High,Very High,Laboratory Technician,No,Better,No
714,50,1,17399,32,1,5,4,3,Research & Development,Very High,High,Very High,Research Director,No,Good,No
715,33,1,5488,6,2,6,5,2,Research & Development,High,Very High,Medium,Healthcare Representative,Yes,Better,No
716,41,9,19419,21,2,18,16,11,Research & Development,Low,High,High,Research Director,No,Best,No
717,27,16,2811,4,2,2,2,2,Research & Development,High,High,Medium,Laboratory Technician,No,Better,No
718,45,23,3633,9,2,9,8,8,Research & Development,Very High,High,Low,Laboratory Technician,Yes,Better,No
719,47,4,4163,9,0,9,0,7,Sales,Very High,High,Very High,Sales Executive,Yes,Better,No
720,30,22,2132,7,2,5,2,1,Research & Development,Low,High,High,Research Scientist,Yes,Better,Yes
721,50,24,13973,22,2,12,11,5,Research & Development,Very High,High,High,Manufacturing Director,Yes,Better,No
722,38,10,2684,3,0,2,1,2,Research & Development,High,High,High,Research Scientist,No,Good,No
723,46,7,10845,13,3,8,7,7,Research & Development,Very High,High,High,Manufacturing Director,No,Better,No
724,24,17,4377,5,6,4,2,2,Research & Development,Very High,Medium,High,Manufacturing Director,No,Better,No
725,35,14,3743,5,2,4,2,2,Research & Development,High,Medium,Medium,Laboratory Technician,Yes,Bad,Yes
726,31,1,4148,4,1,4,3,3,Research & Development,High,High,Low,Manufacturing Director,No,Better,No
727,18,5,1051,0,2,0,0,0,Research & Development,Medium,High,Very High,Research Scientist,No,Better,No
728,54,17,10739,22,2,10,7,8,Research & Development,High,High,High,Manufacturing Director,No,Better,No
729,35,25,10388,16,3,16,10,1,Research & Development,High,High,High,Healthcare Representative,Yes,Good,No
730,30,8,11416,9,4,8,7,7,Research & Development,Medium,Very High,Low,Research Director,Yes,Good,No
731,20,11,2600,1,2,1,0,0,Research & Development,Very High,Medium,Low,Research Scientist,Yes,Better,Yes
732,30,5,2422,4,3,3,2,2,Research & Development,Medium,High,Medium,Laboratory Technician,No,Better,Yes
733,26,2,5472,8,2,8,7,3,Research & Development,Very High,Very High,Very High,Manufacturing Director,No,Better,No
734,22,8,2451,4,3,4,3,1,Research & Development,Medium,Low,Low,Laboratory Technician,No,Good,No
735,48,6,4240,19,0,2,2,2,Research & Development,Low,Medium,High,Healthcare Representative,No,Better,No
736,48,4,10999,27,3,15,11,8,Research & Development,High,Medium,High,Healthcare Representative,No,Better,No
737,41,7,5003,8,6,2,2,1,Research & Development,Very High,High,High,Manufacturing Director,No,Better,No
738,39,1,12742,21,3,21,6,8,Research & Development,Very High,Medium,Very High,Manufacturing Director,No,Better,No
739,27,2,4227,4,2,3,2,2,Research & Development,Low,High,Very High,Manufacturing Director,No,Better,No
740,35,10,3917,3,4,3,2,2,Research & Development,Medium,High,Very High,Laboratory Technician,No,Good,No
741,42,5,18303,21,3,1,0,0,Sales,Very High,High,High,Manager,No,Best,No
742,50,9,2380,8,5,1,0,0,Research & Development,Low,High,Very High,Laboratory Technician,No,Better,No
743,59,2,13726,30,4,5,3,3,Research & Development,High,Medium,Very High,Manufacturing Director,Yes,Better,No
744,37,11,4777,15,2,1,0,0,Research & Development,Low,Low,Medium,Healthcare Representative,No,Bad,Yes
745,55,18,6385,17,3,8,7,7,Research & Development,High,High,Medium,Healthcare Representative,Yes,Better,No
746,41,7,19973,21,3,21,16,10,Research & Development,Medium,Low,High,Research Director,No,Better,No
747,38,3,6861,19,1,1,0,0,Sales,Medium,High,Very High,Sales Executive,Yes,Better,No
748,26,29,4969,7,6,2,2,2,Sales,Medium,Low,Low,Sales Executive,No,Better,Yes
749,52,2,19845,33,3,32,14,9,Sales,Low,Low,Very High,Manager,No,Better,Yes
750,44,28,13320,23,2,12,11,11,Sales,Very High,Very High,Very High,Sales Executive,Yes,Better,No
751,50,1,6347,19,3,18,7,13,Sales,Very High,High,High,Sales Executive,No,Better,No
752,36,16,2743,18,1,17,13,14,Research & Development,High,Very High,Low,Laboratory Technician,No,Better,Yes
753,39,22,10880,21,2,21,6,8,Research & Development,Very High,High,Low,Manufacturing Director,Yes,Better,No
754,33,8,2342,3,2,2,2,2,Sales,Medium,Medium,Very High,Sales Representative,No,Good,No
755,45,11,17650,26,4,9,3,1,Sales,Very High,High,Very High,Manager,No,Best,No
756,32,29,4025,10,2,8,7,7,Research & Development,Very High,High,High,Laboratory Technician,No,Better,No
757,34,1,9725,16,2,15,1,9,Sales,Medium,Very High,Very High,Sales Executive,No,Good,No
758,59,1,11904,14,1,6,4,4,Sales,Medium,High,Very High,Manager,Yes,Bad,No
759,45,24,2177,6,3,6,3,4,Human Resources,Medium,High,Medium,Human Resources,No,Better,No
760,53,2,7525,30,2,15,7,12,Sales,High,Medium,Medium,Sales Executive,No,Better,No
761,36,15,4834,9,3,1,0,0,Research & Development,Low,High,High,Laboratory Technician,No,Good,Yes
762,26,2,2042,6,2,3,2,2,Research & Development,Low,High,Low,Research Scientist,Yes,Better,Yes
763,34,10,2220,1,2,1,1,0,Sales,High,High,High,Sales Representative,Yes,Better,No
764,28,10,1052,1,5,1,0,0,Sales,Very High,High,Medium,Sales Representative,No,Better,No
765,38,3,2821,8,2,2,2,2,Research & Development,High,High,High,Research Scientist,No,Better,No
766,50,2,19237,29,2,8,1,7,Research & Development,Medium,High,High,Research Director,Yes,Good,No
767,37,3,4107,8,3,4,3,1,Research & Development,Very High,High,Medium,Healthcare Representative,No,Good,No
768,40,26,8396,8,3,7,7,5,Sales,High,High,Low,Sales Executive,No,Good,No
769,26,1,2007,5,5,5,3,3,Research & Development,Low,Medium,High,Research Scientist,No,Better,No
770,46,1,19627,23,0,2,2,2,Research & Development,Very High,High,Very High,Research Director,No,Better,No
771,54,2,10686,13,4,9,4,0,Sales,High,Medium,High,Sales Executive,No,Better,No
772,56,9,2942,18,4,5,4,3,Research & Development,Low,High,High,Research Scientist,No,Better,No
773,36,12,8858,15,2,14,8,8,Research & Development,Very High,Medium,Very High,Manufacturing Director,No,Good,No
774,55,2,16756,31,3,9,7,2,Research & Development,High,Medium,Low,Manager,No,Best,No
775,43,25,10798,18,5,1,0,0,Sales,High,Medium,Very High,Sales Executive,No,Better,No
776,20,9,2323,2,3,2,2,2,Sales,Very High,High,Very High,Sales Representative,Yes,Better,Yes
777,21,10,1416,1,6,1,0,0,Research & Development,High,Medium,Low,Laboratory Technician,No,Good,Yes
778,46,8,4615,19,2,16,13,7,Research & Development,Very High,Medium,Low,Research Scientist,Yes,Better,No
779,51,4,2461,18,2,10,0,7,Research & Development,Low,High,High,Research Scientist,Yes,Best,Yes
780,28,24,8722,10,2,10,7,9,Research & Development,Medium,Medium,Low,Healthcare Representative,No,Good,Yes
781,26,1,3955,6,2,5,3,3,Research & Development,Low,Medium,Low,Laboratory Technician,No,Better,No
782,30,20,9957,7,1,6,2,2,Research & Development,High,High,Low,Manufacturing Director,No,Good,No
783,41,7,3376,10,3,10,6,8,Research & Development,Medium,Very High,High,Research Scientist,No,Better,No
784,38,17,8823,20,4,19,9,9,Research & Development,High,Medium,High,Healthcare Representative,No,Good,No
785,40,20,10322,14,6,11,10,1,Research & Development,Low,High,Very High,Healthcare Representative,No,Better,No
786,27,8,4621,3,4,3,2,2,Research & Development,Low,Low,High,Laboratory Technician,No,Better,No
787,55,2,10976,23,4,3,2,2,Research & Development,Very High,High,Medium,Manufacturing Director,No,Better,No
788,28,10,3660,10,4,8,7,7,Research & Development,High,High,High,Research Scientist,No,Best,No
789,44,1,10482,24,1,20,6,6,Human Resources,Medium,Medium,Low,Human Resources,No,Better,Yes
790,33,5,7119,9,2,3,2,2,Research & Development,Very High,Medium,Very High,Healthcare Representative,No,Better,No
791,35,4,9582,9,2,8,7,7,Sales,Very High,High,Low,Sales Executive,Yes,Better,Yes
792,33,29,4508,14,4,13,7,8,Research & Development,Low,Medium,High,Research Scientist,No,Better,Yes
793,28,15,2207,4,5,4,2,2,Research & Development,Low,High,High,Laboratory Technician,No,Good,No
794,34,3,7756,7,1,6,2,4,Research & Development,Low,High,Very High,Healthcare Representative,No,Good,No
795,37,10,6694,8,5,1,0,0,Sales,Very High,Medium,Very High,Sales Executive,Yes,Better,No
796,25,4,3691,7,3,7,7,6,Research & Development,Very High,High,Very High,Laboratory Technician,Yes,Best,Yes
797,26,21,2377,1,0,1,1,0,Research & Development,Low,High,High,Laboratory Technician,No,Good,Yes
798,33,25,2313,5,0,2,2,2,Research & Development,Low,Medium,Medium,Research Scientist,Yes,Better,Yes
799,42,2,17665,23,3,22,6,7,Research & Development,Very High,High,Low,Manager,No,Better,No
800,28,1,2596,1,2,1,0,0,Research & Development,Low,Medium,Medium,Laboratory Technician,No,Better,Yes
801,50,1,4728,5,4,0,0,0,Sales,Very High,High,High,Sales Executive,Yes,Better,Yes
802,33,7,4302,4,3,3,2,2,Sales,Very High,High,Medium,Sales Executive,No,Better,No
803,34,3,2979,6,2,0,0,0,Research & Development,High,Medium,Very High,Research Scientist,No,Better,No
804,48,1,16885,27,3,5,4,1,Research & Development,Low,Very High,Very High,Manager,No,Good,No
805,45,9,5593,15,2,15,10,12,Sales,Medium,Medium,High,Sales Executive,No,Better,No
806,52,7,10445,18,4,8,6,0,Research & Development,Medium,High,Medium,Healthcare Representative,No,Better,No
807,38,10,8740,9,2,8,7,7,Sales,High,Medium,High,Sales Executive,Yes,Better,No
808,29,28,2514,11,1,7,5,7,Research & Development,High,High,Very High,Research Scientist,No,Better,No
809,28,3,7655,10,3,9,7,7,Research & Development,Very High,High,Medium,Manufacturing Director,No,Good,No
810,46,3,17465,23,3,12,9,9,Sales,Low,High,High,Manager,No,Better,No
811,38,2,7351,10,2,1,0,0,Sales,Very High,High,Medium,Sales Executive,No,Better,No
812,43,27,10820,18,1,8,7,1,Research & Development,High,High,Low,Manufacturing Director,No,Better,No
813,39,2,12169,21,4,18,7,5,Research & Development,Low,High,Very High,Healthcare Representative,No,Better,Yes
814,40,14,19626,21,2,20,7,9,Research & Development,High,Medium,High,Research Director,No,Best,No
815,21,1,2070,2,6,2,2,2,Research & Development,Very High,Medium,Medium,Research Scientist,Yes,Best,No
816,39,9,6782,9,2,5,4,3,Research & Development,High,High,Medium,Laboratory Technician,No,Good,No
817,36,18,7779,18,0,11,9,9,Research & Development,Low,High,Very High,Manufacturing Director,No,Better,No
818,31,20,2791,3,4,2,2,2,Sales,High,Very High,Very High,Sales Representative,No,Better,No
819,28,2,3201,6,2,5,3,4,Research & Development,Low,Medium,Medium,Research Scientist,No,Bad,No
820,35,11,4968,5,3,5,2,2,Sales,Very High,High,Very High,Sales Executive,No,Better,No
821,49,8,13120,22,3,9,8,3,Sales,Very High,Medium,Medium,Sales Executive,No,Better,No
822,34,2,4033,5,3,3,2,2,Research & Development,Very High,High,High,Manufacturing Director,No,Good,No
823,29,10,3291,8,2,7,5,1,Research & Development,Very High,High,Medium,Research Scientist,No,Good,No
824,42,29,4272,16,3,1,0,0,Research & Development,Medium,Low,Very High,Laboratory Technician,No,Better,No
825,29,8,5056,10,2,10,7,2,Research & Development,Medium,Medium,Very High,Manufacturing Director,Yes,Good,No
826,38,1,2844,7,2,7,6,0,Human Resources,High,Very High,High,Human Resources,No,Best,No
827,28,6,2703,3,2,3,1,2,Research & Development,High,Medium,High,Research Scientist,Yes,Better,No
828,18,8,1904,0,0,0,0,0,Research & Development,High,High,High,Laboratory Technician,No,Better,Yes
829,33,9,8224,6,3,5,2,3,Sales,Low,High,Low,Sales Executive,Yes,Better,Yes
830,41,12,4766,6,4,1,0,0,Research & Development,Medium,High,Very High,Laboratory Technician,Yes,Better,No
831,31,15,2610,2,5,2,2,2,Research & Development,High,High,High,Laboratory Technician,No,Good,Yes
832,37,25,5731,9,2,6,2,3,Research & Development,High,Medium,Very High,Healthcare Representative,No,Better,No
833,27,6,2539,4,0,4,2,2,Research & Development,Very High,Medium,High,Research Scientist,No,Better,No
834,34,9,5714,6,3,6,5,3,Sales,Medium,High,High,Sales Executive,No,Good,No
835,35,8,4323,6,2,5,4,4,Human Resources,High,High,High,Human Resources,No,Bad,No
836,29,23,7336,11,3,11,8,10,Sales,Very High,Medium,Low,Sales Executive,No,Bad,Yes
837,40,9,13499,20,3,18,7,13,Research & Development,Medium,High,High,Research Director,No,Good,No
838,42,12,13758,22,2,21,9,14,Sales,High,High,Low,Sales Executive,Yes,Good,Yes
839,42,4,5155,9,3,6,4,5,Sales,Medium,High,Low,Sales Executive,No,Best,No
840,35,1,2258,10,2,8,0,7,Research & Development,Very High,Medium,High,Laboratory Technician,No,Better,No
841,24,24,3597,6,2,4,3,2,Research & Development,Very High,High,Medium,Laboratory Technician,No,Better,No
842,28,12,2515,1,4,1,1,0,Research & Development,High,High,Very High,Laboratory Technician,Yes,Good,Yes
843,26,3,4420,8,2,8,7,7,Research & Development,Low,Very High,Very High,Laboratory Technician,No,Better,No
844,30,10,6578,10,3,10,3,4,Sales,High,Medium,High,Sales Executive,No,Better,No
845,40,26,4422,16,3,1,1,0,Research & Development,High,Medium,Very High,Research Scientist,Yes,Bad,No
846,35,2,10274,15,2,7,7,4,Research & Development,High,Medium,Medium,Manufacturing Director,No,Best,No
